Genotype,Temp,Frequency,tindex,t1,t2,t3,t4,t5,t6,t7,t8,growthrate,R2,Genot
10884,35,0,56,0,25.5,96.5,126,185,NA,NA,NA,4.04982517482517,0.997028412854202,X10884
10884,35,0,55,0,32.5,100,127,178,198.5,NA,NA,3.57333333333333,0.991468565841854,X10884
10884,37,0,55,0,28.5,97,127.5,188.5,214.5,NA,NA,3.88666666666667,0.998536164272858,X10884
10884,37,0,55,0,50,90,118,173,199,NA,NA,3.39333333333333,0.987963493883792,X10884
10884,37,0,55,0,29,96,128,192,217,NA,NA,3.94333333333334,0.998874709976798,X10884
10884,42,0,55,0,11,36,49.5,79,92,117.5,130,1.65421195652174,0.999034091668692,X10884
10884,42,0,55,0,8.5,29,40,60,70,89,99,1.24864130434783,0.999655963127415,X10884
10884,42,0,55,0,7,22,30,46,53,69.5,80,0.989130434782609,0.998377407323402,X10884
10885,25,0,55,0,28.5,89,113.5,161,185,NA,NA,3.30333333333333,0.995979446840903,X10885
10885,25,0,56,0,17,75.5,105,158,181,228,NA,3.3151018922853,0.997620511206477,X10885
10885,25,0,55,0,25,86,112,158,180.5,220.5,NA,3.10501126126126,0.992940859177649,X10885
10885,25-35,120,59,0,28,98,128.5,197,227.5,NA,NA,4.06424258869819,0.998670973630458,X10885
10885,25-35,120,55,0,26,89,119.5,183,208,NA,NA,3.78583333333333,0.999135966106824,X10885
10885,25-35,120,55,0,25,84.5,116.5,168,193,NA,NA,3.49666666666667,0.99837033591614,X10885
10885,25-35,480,61,0,27,87,119,187,216.5,NA,NA,3.95930769777525,0.999309182991194,X10885
10885,25-35,480,55,0,27,91,120.5,180.5,209.5,NA,NA,3.7725,0.999664865379057,X10885
10885,25-35,480,55,0,31,92,118,171.5,195,NA,NA,3.48916666666667,0.997498309957375,X10885
10885,30,0,55,0,37.5,101,133.5,194,NA,NA,NA,4.02247807017544,0.99864813883222,X10885
10885,30,0,55,0,26.5,99.5,134.5,195,222,NA,NA,4.0525,0.99727557628186,X10885
10885,30,0,55,0,32.5,100,126,181,NA,NA,NA,3.79331140350877,0.995919022069129,X10885
10885,32,0,55,0,29,104,136.5,202,232,NA,NA,4.2025,0.998660794508845,X10885
10885,32,0,55,0,33,111,145.5,211.5,NA,NA,NA,4.46381578947368,0.998315054750777,X10885
10885,32,0,55,0,37,105.5,138.5,NA,NA,NA,NA,4.31875,0.999469276667015,X10885
10885,32-42,120,62,0,18,69.5,94,143.5,163,204,220,2.84702287448086,0.99714668618365,X10885
10885,32-42,120,55,0,26,85.5,114,172,198,244,NA,3.45791103603604,0.997852440206653,X10885
10885,32-42,120,55,0,23,69,95,142.5,162.5,199.5,217.5,2.7554347826087,0.996235849064606,X10885
10885,32-42,480,55,0,23,82.5,108,164.5,190,237,NA,3.35515202702703,0.998522620777202,X10885
10885,32-42,480,55,0,23.5,82.5,108.5,166,190.5,238.5,NA,3.37331081081081,0.998619496816884,X10885
10885,32-42,480,55,0,25.5,80,106,159,184.5,NA,NA,3.30833333333333,0.999912764877554,X10885
10885,35,0,55,0,40.5,115.5,153.5,NA,NA,NA,NA,4.775,0.999713518582752,X10885
10885,35,0,56,0,28.5,117,151,215,NA,NA,NA,4.75364219114219,0.992330034740806,X10885
10885,35,0,55,0,37,113,142.5,NA,NA,NA,NA,4.5125,0.997347318833988,X10885
10885,37,0,55,0,32.5,106,138.5,208,NA,NA,NA,4.35581140350877,0.999616626317933,X10885
10885,37,0,55,0,35,117,152,222.5,NA,NA,NA,4.68640350877193,0.998491523422453,X10885
10885,37,0,55,0,31.5,107.5,141,208,NA,NA,NA,4.38377192982456,0.998926874006694,X10885
10885,42,0,55,0,3,17.5,28.5,51,62,78.5,88,1.15964673913043,0.989537476803721,X10885
10885,42,0,55,0,8,25,34,NA,NA,NA,NA,1.0625,0.99948114839156,X10885
10885,42,0,55,0,7,21,29,42,47.5,57.5,62,0.785326086956522,0.991816369638533,X10885
10886,25,0,55,0,24,81,106.5,159.5,185.5,232,NA,3.26590653153153,0.998991994905792,X10886
10886,25,0,55,0,32,81.5,108.5,161,184.5,232,NA,3.21143018018018,0.998757616857533,X10886
10886,25,0,55,0,25.5,73.5,97.5,150.5,174.5,221.5,245,3.07608695652174,0.999698265386807,X10886
10886,25-35,120,59,0,23,85,118,183.5,210,NA,NA,3.7956380164168,0.996773399059185,X10886
10886,25-35,120,55,0,22.5,85,113,180.5,207,NA,NA,3.77833333333333,0.997927279967753,X10886
10886,25-35,120,55,0,25.5,87.5,121,179,206.5,NA,NA,3.74416666666667,0.999172294642316,X10886
10886,25-35,480,61,0,18.5,77.5,110,179,205,NA,NA,3.83040727841353,0.996579786615254,X10886
10886,25-35,480,55,0,23,89,119,187.5,215.5,NA,NA,3.935,0.998230096422125,X10886
10886,25-35,480,55,0,28,89,118,178.5,204,NA,NA,3.6825,0.999605553984199,X10886
10886,30,0,55,0,32,99,132.5,196,224,NA,NA,4.03583333333333,0.999356748758082,X10886
10886,30,0,55,0,26.5,98.5,134,199,226.5,NA,NA,4.13916666666667,0.998323363716125,X10886
10886,30,0,55,0,30.5,98,130,196,223,NA,NA,4.03416666666667,0.999379236296444,X10886
10886,32,0,55,0,24,98.5,132,203,233.5,NA,NA,4.27166666666667,0.998283862876254,X10886
10886,32,0,55,0,29,105.5,139,210,NA,NA,NA,4.4281798245614,0.998851250416627,X10886
10886,32,0,55,0,32.5,104,140.5,209,NA,NA,NA,4.3843201754386,0.999754131779488,X10886
10886,32-42,120,62,0,14,56,77,124,146,192,210,2.72072905683114,0.998037509058559,X10886
10886,32-42,120,55,NA,0,41,67.5,128,152,200.5,NA,3.22767857142857,0.995463759208556,X10886
10886,32-42,120,55,0,18.5,60.5,85,131,152,190.5,211,2.67934782608696,0.998887993397635,X10886
10886,32-42,480,62,0,15,65,92,152,176,224,243,3.19199070387984,0.997102009713597,X10886
10886,32-42,480,55,0,18,74.5,101.5,162.5,189.5,247,NA,3.49493243243243,0.998010946387113,X10886
10886,32-42,480,55,0,21.5,71.5,101.5,153.5,177.5,227.5,NA,3.20411036036036,0.999286088314408,X10886
10886,35,0,55,0,30.5,104,137.5,203.5,NA,NA,NA,4.28782894736842,0.999174916359392,X10886
10886,35,0,55,0,38.5,115,149.5,213,NA,NA,NA,4.46655701754386,0.997072044619655,X10886
10886,35,0,55,NA,NA,0,31,92.5,125,197,228.5,4.10333333333333,0.998726643456047,X10886
10886,37,0,55,0,27,94,124,187,213,NA,NA,3.86833333333333,0.999029905077232,X10886
10886,37,0,55,0,28,96.5,127.5,196,225.5,NA,NA,4.0825,0.999436508853745,X10886
10886,37,0,55,0,27.5,89,118,181.5,210,NA,NA,3.78166666666667,0.999693181542345,X10886
10886,42,0,55,0,1.5,10,16.5,30,37,49.5,57,0.739809782608696,0.983983455149308,X10886
10886,42,0,55,0,3,7.5,13,27,35,50.5,57,0.739130434782609,0.959838633458026,X10886
10886,42,0,55,0,3,8,12,19,23,32,38,0.466032608695652,0.983733892090099,X10886
10887,25,0,55,0,25,75.5,98,145,167,211,233.5,2.90964673913043,0.999174242398656,X10887
10887,25,0,56,0,19,76.5,105,158,181.5,224.5,243,3.16638314577336,0.994990585979608,X10887
10887,25,0,55,0,24,81,106,156.5,176,220.5,NA,3.09839527027027,0.996756298787944,X10887
10887,25-35,120,59,0,26,93,124,186,215,NA,NA,3.84695746557221,0.998610688598172,X10887
10887,25-35,120,55,0,28,89,118,176,202,NA,NA,3.63833333333333,0.99957102026903,X10887
10887,25-35,120,55,0,27.5,96,129.5,185,213,NA,NA,3.85333333333333,0.997641187948725,X10887
10887,25-35,480,61,0,23,86,119,181,209,NA,NA,3.8557111379629,0.999479712619808,X10887
10887,25-35,480,55,0,29,95,127.5,188,217,NA,NA,3.91083333333333,0.999451073741968,X10887
10887,25-35,480,55,0,31.5,100.5,130.5,198,NA,NA,NA,4.13157894736842,0.999666229596436,X10887
10887,30,0,55,0,37,104,136.5,192.5,214.5,NA,NA,3.8525,0.993941207078991,X10887
10887,30,0,55,0,33.5,107,140.5,206,NA,NA,NA,4.32510964912281,0.999166817020707,X10887
10887,30,0,55,0,36,107.5,137,196,220,NA,NA,3.94916666666667,0.994844824814726,X10887
10887,32,0,55,0,21,102.5,140.5,214,NA,NA,NA,4.58388157894737,0.994541673526259,X10887
10887,32,0,55,0,35,117.5,152,224.5,NA,NA,NA,4.72203947368421,0.998748879580589,X10887
10887,32,0,55,0,36,115.5,150,218,NA,NA,NA,4.5827850877193,0.998340098534816,X10887
10887,32-42,120,62,0,16,65,89.5,143.5,166,215.5,234.5,3.04598566848142,0.998646658486932,X10887
10887,32-42,120,55,0,28.5,89,117,179.5,204,NA,NA,3.685,0.999449462497508,X10887
10887,32-42,120,55,0,27.5,80.5,106.5,160,181.5,229.5,NA,3.20157657657658,0.998922083970373,X10887
10887,32-42,480,55,0,20,80.5,109,175,203,255,NA,3.6513231981982,0.997822147605962,X10887
10887,32-42,480,55,0,26.5,90.5,121.5,188,216.5,NA,NA,3.92333333333333,0.999299070688124,X10887
10887,32-42,480,55,0,29,91.5,123,183,210,NA,NA,3.78583333333333,0.999595796183435,X10887
10887,35,0,55,0,37.5,118,153,219.5,NA,NA,NA,4.61677631578947,0.997415657573981,X10887
10887,35,0,56,0,27,108.5,147.5,NA,NA,NA,NA,4.95768566493955,0.999556035321717,X10887
10887,35,0,55,0,36.5,119,153.5,NA,NA,NA,NA,4.86875,0.998594853558552,X10887
10887,37,0,55,0,36,112.5,147.5,219,NA,NA,NA,4.58059210526316,0.999659428739689,X10887
10887,37,0,55,0,35,115.5,152,226,NA,NA,NA,4.74616228070176,0.999481856420502,X10887
10887,37,0,55,0,35,110.5,146.5,219.5,NA,NA,NA,4.59046052631579,0.999889036213046,X10887
10887,42,0,55,0,7,28,40,65,76,99.5,113,1.43478260869565,0.99705491727012,X10887
10887,42,0,55,0,3.5,22,34,59.5,70,95,108,1.3960597826087,0.990132340998896,X10887
10887,42,0,55,0,5,16.5,22.5,35.5,39.5,39.5,39.5,0.536005434782609,0.903600150507718,X10887
10888,25,0,55,0,24.5,76.5,103.5,155.5,179.5,225,NA,3.16511824324324,0.99915429152006,X10888
10888,25,0,55,0,26.5,78.5,106.5,159,182,228,NA,3.19847972972973,0.998818209597618,X10888
10888,25,0,55,0,25.5,80.5,108,165,189.5,239,NA,3.36162725225225,0.99931682941115,X10888
